Name,Type 1 Departments - Major A&E,Percentage in 4 hours or less (type 1),Month,Year,Max temp,Avrg temp,Min temp,Population,Age 0 to 4,Age 5 to 9,Age 10 to 14,Age 15 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85+,BME %,Budget
Northumbria Healthcare NHS Foundation Trust,10060,0.99,11,2010,6,5,3,314964,13905,16352,17039,15375,13606,15571,16548,17039,17039,19291,22718,25266,24286,22132,22541,15471,10362,9385,4881,494000000
Northumbria Healthcare NHS Foundation Trust,10060,0.930019881,12,2010,1,0,-2,314964,13905,16352,17039,15375,13606,15571,16548,17039,17039,19291,22718,25266,24286,22132,22541,15471,10362,9385,4881,494000000
Northumbria Healthcare NHS Foundation Trust,10028,0.971280415,1,2011,5,3,1,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,10028,0.969285999,2,2011,7,5,3,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,11428,0.941897095,3,2011,9,6,3,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,11128,0.96333573,4,2011,14,10,6,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,10696,0.953627524,5,2011,14,11,7,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,10812,0.988161302,6,2011,16,12,8,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,10776,0.983667409,7,2011,17,14,10,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,11008,0.977834302,8,2011,17,14,11,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,11296,0.986189802,9,2011,17,13,10,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,10060,0.879393285,10,2011,14,11,8,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,10144,0.988564669,11,2011,11,9,7,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,10196,0.983915261,12,2011,7,5,3,315858,13945,16399,17087,15419,13645,15616,16595,17087,17087,19346,22782,25338,24355,22195,22605,15514,10391,9412,4895,494000000
Northumbria Healthcare NHS Foundation Trust,10364,0.981088383,1,2012,7,4,2,316389,13968,16426,17116,15445,13668,15642,16623,17116,17116,19378,22821,25380,24396,22232,22643,15541,10409,9428,4904,494000000
Northumbria Healthcare NHS Foundation Trust,10996,0.969079665,2,2012,7,4,2,316389,13968,16426,17116,15445,13668,15642,16623,17116,17116,19378,22821,25380,24396,22232,22643,15541,10409,9428,4904,494000000
Northumbria Healthcare NHS Foundation Trust,10060,0.879393285,3,2012,12,8,4,316389,13968,16426,17116,15445,13668,15642,16623,17116,17116,19378,22821,25380,24396,22232,22643,15541,10409,9428,4904,494000000
Northumbria Healthcare NHS Foundation Trust,10568,0.987130961,4,2012,9,6,3,316389,13968,16426,17116,15445,13668,15642,16623,17116,17116,19378,22821,25380,24396,22232,22643,15541,10409,9428,4904,494000000
Northumbria Healthcare NHS Foundation Trust,11140,0.986714542,5,2012,12,9,5,316389,13968,16426,17116,15445,13668,15642,16623,17116,17116,19378,22821,25380,24396,22232,22643,15541,10409,9428,4904,494000000
Northumbria Healthcare NHS Foundation Trust,11700,0.980854701,6,2012,14,12,9,316389,13968,16426,17116,15445,13668,15642,16623,17116,17116,19378,22821,25380,24396,22232,22643,15541,10409,9428,4904,494000000
Northumbria Healthcare NHS Foundation Trust,11768,0.977906186,7,2012,16,14,10,316389,13968,16426,17116,15445,13668,15642,16623,17116,17116,19378,22821,25380,24396,22232,22643,15541,10409,9428,4904,494000000
Northumbria Healthcare NHS Foundation Trust,11388,0.975061468,8,2012,18,15,12,316389,13968,16426,17116,15445,13668,15642,16623,17116,17116,19378,22821,25380,24396,22232,22643,15541,10409,9428,4904,494000000
Northumbria Healthcare NHS Foundation Trust,11212,0.981091687,9,2012,15,12,9,316389,13968,16426,17116,15445,13668,15642,16623,17116,17116,19378,22821,25380,24396,22232,22643,15541,10409,9428,4904,494000000
Northumbria Healthcare NHS Foundation Trust,11484,0.979101358,10,2012,11,8,5,316389,13968,16426,17116,15445,13668,15642,16623,17116,17116,19378,22821,25380,24396,22232,22643,15541,10409,9428,4904,494000000
